Id,Price (EUR),Transmission,Number of Gears,Body Type,Number of seats,Drive wheel,Fuel Type,Number of Cylinders,Volume of engine,Power,Max Torque,Top Speed,Acceleration to 100km/h,Combined consumption l/100km
59697,103290,6 speed manual transmission,6,"2-doors, convertible",2,rear,gasoline,8,5967,404,546,300.0,4.1,13.0
59701,71602,4 speed automatic,4,"4-doors, sedan",5,rear,gasoline,6,3590,203,302,219.0,7.9,10.9
59702,92798,4 speed automatic,4,"4-doors, sedan",5,rear,gasoline,6,3980,226,377,222.0,8.1,11.3
59703,0,3 speed automatic,3,"4-doors, sedan",5,front,gasoline,12,5345,290,436,238.0,8.7,14.1
59704,89259,3 speed automatic,3,"4-doors, sedan",5,rear,gasoline,12,5343,254,369,233.0,9.5,15.8
59705,101919,4 speed automatic,4,"4-doors, sedan",5,rear,gasoline,12,5994,318,463,250.0,7.2,15.2
59706,106820,4 speed automatic,4,"4-doors, sedan",5,rear,gasoline,12,5993,318,478,250.0,7.2,15.2
59708,165690,6 speed automatic,6,"4-doors, sedan",5,rear,gasoline,8,4196,400,553,250.0,5.3,12.1
59709,106130,5 speed automatic,5,"4-doors, sedan",5,rear,gasoline,8,3996,290,393,240.0,7.3,11.9
59715,9300,4 speed manual transmission,4,"4-doors, sedan",0,rear,gasoline,4,1595,81,121,160.0,14.1,9.2
59721,10979,5 speed manual transmission,5,"5-doors, station wagon",0,rear,gasoline,4,1770,88,133,160.0,NaN,9.3
59723,6033,4 speed manual transmission,4,"3-doors, hatchback",0,front,gasoline,4,988,45,65,135.0,NaN,8.0
59728,7349,4 speed manual transmission,4,"5-doors, hatchback",0,front,gasoline,4,1171,52,78,145.0,16.9,8.0
59730,8347,5 speed manual transmission,5,"3-doors, coup&eacute;",0,front,gasoline,4,1397,63,98,150.0,NaN,8.1
59732,10664,5 speed manual transmission,5,"4-doors, sedan",0,rear,gasoline,6,2393,113,175,170.0,NaN,10.9
59734,12229,5 speed manual transmission,5,"4-doors, sedan",0,rear,gasoline,6,2393,113,174,175.0,13.5,9.8
59737,8529,4 speed manual transmission,4,"3-doors, hatchback",0,front,gasoline,4,1598,81,130,160.0,NaN,7.9
59741,8620,4 speed manual transmission,4,"4-doors, sedan",0,front,gasoline,4,1598,81,130,160.0,NaN,8.2
59745,10299,5 speed manual transmission,5,"5-doors, sedan",0,front,gasoline,4,1809,88,142,170.0,NaN,7.8
59747,6532,4 speed manual transmission,4,"2-doors, sedan",0,rear,gasoline,4,1171,52,79,140.0,17.6,8.1
59750,7984,4 speed manual transmission,4,"4-doors, sedan",0,rear,gasoline,4,1488,70,113,155.0,14.5,8.2
59751,8166,4 speed manual transmission,4,"4-doors, sedan",0,rear,gasoline,4,1488,70,113,155.0,14.5,8.0
59752,7667,4 speed manual transmission,4,"5-doors, station wagon",0,rear,gasoline,4,1488,70,113,155.0,14.5,8.4
59754,11342,5 speed manual transmission,5,"3-doors, coup&eacute;",0,rear,gasoline,4,1770,93,139,175.0,NaN,8.8
59756,8075,4 speed manual transmission,4,"4-doors, sedan",0,front,gasoline,4,1595,81,121,160.0,14.1,8.8
59757,8166,5 speed manual transmission,5,"3-doors, coup&eacute;",0,front,gasoline,4,1595,87,124,165.0,13.1,8.6
59758,9073,5 speed manual transmission,5,"5-doors, hatchback",5,rear,gasoline,4,1598,78,122,160.0,15.5,8.2
59761,9527,5 speed manual transmission,5,"4-doors, sedan",5,rear,gasoline,4,1598,78,122,160.0,15.5,8.0
59762,4764,5 speed manual transmission,5,"4-doors, sedan",5,rear,gasoline,4,1481,82,114,145.0,20.0,8.4
59763,5899,5 speed manual transmission,5,"5-doors, station wagon",5,rear,gasoline,4,1481,82,114,145.0,20.0,8.9
59764,7096,4 speed manual transmission,4,"5-doors, hatchback",5,rear,gasoline,0,NaN,NaN,NaN,NaN,NaN,NaN
59767,6078,4 speed manual transmission,4,"5-doors, station wagon",5,rear,gasoline,0,NaN,NaN,NaN,NaN,NaN,NaN
59768,5672,5 speed manual transmission,5,"5-doors, hatchback",5,rear,gasoline,4,1481,82,114,155.0,19.0,8.0
59778,32067,5 speed manual transmission,5,"3-doors, suv/crossover",5,front,gasoline,6,2972,141,220,168.0,14.2,13.6
59782,35731,5 speed manual transmission,5,"5-doors, suv/crossover",7,front,gasoline,6,2972,141,220,167.0,14.3,13.6
59787,4533,5 speed manual transmission,5,"3-doors, hatchback",0,front,gasoline,4,998,49,68,138.0,17.6,7.8
26277,7757,4 speed manual transmission,4,"3-doors, hatchback",5,front,gasoline,4,1198,55,90,150.0,15.0,7.1
26290,9527,4 speed manual transmission,4,"3-doors, hatchback",5,front,gasoline,4,1298,69,102,158.0,13.9,7.2
26303,11115,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1298,75,108,170.0,12.5,6.9
26311,12862,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1298,75,108,170.0,12.5,6.9
26319,11499,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,3,1124,75,100,165.0,12.9,5.5
26332,10799,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,3,1124,75,100,165.0,12.9,5.5
26345,10899,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,3,1124,75,100,162.0,12.8,5.5
26361,7984,4 speed manual transmission,4,"5-doors, hatchback",0,front,gasoline,4,1244,55,90,147.0,17.2,7.2
26364,9368,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1198,55,90,150.0,15.0,7.0
26370,12499,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,3,1124,75,100,165.0,13.4,5.5
26395,12499,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,3,1124,75,100,165.0,13.4,5.5
26404,12699,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,3,1124,75,100,162.0,13.2,5.5
26421,21999,5 speed manual transmission,5,"2-doors, convertible",4,front,gasoline,4,1499,109,145,185.0,10.5,6.6
26425,21999,5 speed manual transmission,5,"2-doors, convertible",4,front,gasoline,4,1499,109,145,185.0,10.5,6.6
26430,29019,5 speed manual transmission,5,"3-doors, coup&eacute;",4,front,gasoline,4,1997,150,175,220.0,9.2,8.4
26431,27225,5 speed manual transmission,5,"3-doors, coup&eacute;",4,front,gasoline,4,1997,146,177,220.0,9.4,9.7
26432,13861,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1755,86,133,170.0,13.3,7.9
26450,17241,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1834,126,161,200.0,10.1,7.5
26458,9754,4 speed manual transmission,4,"4-doors, sedan",0,rear,gasoline,4,1597,75,116,158.0,14.8,9.1
26466,11524,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1597,75,122,160.0,13.3,7.8
26478,13520,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1755,86,133,168.0,12.7,7.9
26494,16629,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1834,126,161,200.0,10.0,7.5
26504,22074,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1997,136,178,210.0,9.7,8.5
26518,22074,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1997,136,178,200.0,10.0,9.0
26526,11297,4 speed manual transmission,4,"5-doors, station wagon",5,rear,gasoline,4,1597,75,116,153.0,15.4,9.1
26529,30699,5 speed manual transmission,5,"5-doors, mpv",7,front,gasoline,4,2378,165,217,200.0,10.0,9.4
26542,19990,traploze automatic,t,"5-doors, hatchback",4,rear,n/a,NaN,NaN,67,180,130.0,9.5,NaN
26543,56799,5 speed manual transmission,5,"4-doors, pick-up",5,front+rear,diesel,4,2477,136,314,167.0,15.0,8.3
26544,12817,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1468,84,122,165.0,11.9,7.2
26552,14746,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1298,75,108,165.0,13.8,7.0
26554,17999,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1499,109,143,191.0,11.6,6.4
26569,7258,4 speed manual transmission,4,"4-doors, sedan",0,rear,gasoline,4,1244,55,90,140.0,NaN,8.3
26576,8756,4 speed manual transmission,4,"4-doors, sedan",5,front,gasoline,4,1198,55,90,150.0,15.0,7.1
26587,10730,4 speed manual transmission,4,"4-doors, sedan",5,front,gasoline,4,1298,69,102,158.0,13.9,7.2
26599,14519,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1298,75,108,170.0,13.0,7.0
26608,14020,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1298,75,108,170.0,12.5,6.9
26611,18999,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1584,98,150,183.0,11.8,6.8
26612,18999,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1499,109,143,191.0,11.6,6.4
26638,12908,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1468,69,115,148.0,NaN,7.9
26642,13951,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1468,90,126,170.0,11.7,7.9
26644,14655,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1597,113,137,185.0,10.2,8.0
26648,18999,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1584,98,150,181.0,12.6,7.0
26652,15999,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1584,98,150,181.0,12.6,7.0
